原始链接,新链接,源内容ID,目标内容ID
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/20135991937983.jpg,/static/upfiles/old/20135991937983.jpg,647,331
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile/08111108263.jpg,/static/upfiles/old/08111108263.jpg,442,271
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/201271015317262.jpg,/static/upfiles/old/201271015317262.jpg,630,317
/upfiles/image/20180704133930.png,/static/upfiles/old/20180704133930.png,815,410
/upfiles/image/20150713132546.jpg,/static/upfiles/old/20150713132546.jpg,696,359
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2013101283139628.jpg,/static/upfiles/old/2013101283139628.jpg,654,336
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/20121011133631650.jpg,/static/upfiles/old/20121011133631650.jpg,637,323
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile/100312097EF.jpg,/static/upfiles/old/100312097EF.jpg,454,283
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20150423104633.jpg,/static/upfiles/old/20150423104633.jpg,691,356
/upfiles/image/20171128131255.jpg,/static/upfiles/old/20171128131255.jpg,793,394
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2013220102552809.jpg,/static/upfiles/old/2013220102552809.jpg,646,330
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2012710151614865.jpg,/static/upfiles/old/2012710151614865.jpg,628,316
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2012127134534903.jpg,/static/upfiles/old/2012127134534903.jpg,643,327
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2012710145027708.jpg,/static/upfiles/old/2012710145027708.jpg,626,314
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2012731154411587.jpg,/static/upfiles/old/2012731154411587.jpg,632,319
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20141127145846.jpg,/static/upfiles/old/20141127145846.jpg,671,348
